Asset ID,Work Order,Route,Creation Date,Creation By,Completion Date,Completed By,Reason,Status,Activity,WoDesc,WoComments,
SIG_100060,20200831,Ottawa Ln,8/31/2020,awilfong,,,Required Installation,Open,Replace,Install Speed Limit on Niagara  and replacing signs in sub,,
SIG_100262,20210330,E Surrey Rd,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_100274,20210330,Sandy Ln,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_100290,20210330,Sandy Ln,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_100292,20210330,Sandy Ln,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_100293,20210330,Sandy Ln,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_100545,20210330,Sandy Ln,3/30/2021,Awilfong1,,,Reflectivity,Open,Replace,Replacing signs and posts ,,
SIG_10126,WH23,Baldwin Rd  ,7/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10127,WH23,Baldwin Rd  ,7/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10249,WH23,Baldwin Rd  ,7/14/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10250,WH23,Baldwin Rd  ,7/14/2023,WHerman1,,,Missing,Open,Replace,,Missing,
SIG_10265,WH23,Baldwin Road,7/10/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10281,WH23,Barr Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10282,WH23,Barr Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102865,WH23,Covey Hill Dr,7/11/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102870,WH23,Covey Hill Dr,7/11/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102886,WH23,Manorhaven St,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102887,WH23,Manorhaven St,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102888,WH23,Manorhaven St,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_10291,WH23,Barr Rd,6/7/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102927,WH23,Glenfield Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102960,WH23,Palisades Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102961,WH23,Palisades Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102964,WH23,Canal Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
SIG_102966,WH23,Canal Dr,7/26/2023,WHerman1,,,InventoryAdj,Open,Replace,,,
